City,Date,Cloudiness,Countries,humidity,lat,lon,maxTemp,windSpeed
Tarquinia,1583882892,14,IT,81,42.25,11.76,9.0,2.1
Broome,1583882893,90,US,87,42.25,-75.83,12.22,4.1
Uglich,1583882894,100,RU,95,57.53,38.33,3.1,2.55
Båtsfjord,1583882895,75,NO,67,70.63,29.72,-5.0,3.1
Acaraú,1583882897,97,BR,91,-2.89,-40.12,24.12,1.84
Marfino,1583882898,20,RU,93,55.7,37.38,5.0,3.0
North Battleford,1583882899,1,CA,84,52.78,-108.28,0.0,4.6
Vrangel',1583882900,100,RU,76,42.73,133.08,-2.4,13.84
Solnechnyy,1583882901,100,RU,76,50.72,136.63,-8.55,4.92
Tilichiki,1583882902,42,RU,83,60.47,166.1,-10.64,1.12
Burgersdorp,1583882903,70,ZA,89,-31.0,26.33,12.84,1.82
Monrovia,1583882904,75,LR,94,6.3,-10.8,26.0,2.1
Vágur,1583882905,98,FO,67,61.47,-6.81,5.47,17.78
Nhamundá,1583882906,75,BR,83,-2.19,-56.71,24.61,0.44
Ostrovnoy,1583882852,96,RU,94,68.05,39.51,-7.04,2.52
Tevaitoa,1583882761,96,PF,67,-16.78,-151.5,28.24,3.07
Southbridge,1583882759,90,US,51,42.08,-72.03,17.78,7.2
Shangzhi,1583882910,99,CN,93,45.22,127.97,-6.89,2.94
Coahuayana Viejo,1583882911,75,MX,65,18.73,-103.68,28.0,6.2
Phan Thiet,1583882912,84,VN,84,10.93,108.1,25.07,3.24
La Santisima Trinidad,1583882913,75,BO,66,-14.83,-64.9,32.0,1.5
Dalianwan,1583882914,0,CN,62,39.03,121.69,-4.0,1.0
Lagoa,1583882915,100,PT,91,39.05,-27.98,14.17,10.66
Alice Springs,1583882916,0,AU,39,-23.7,133.88,26.0,2.1
Cedar City,1583882917,75,US,50,37.68,-113.06,12.0,1.5
Chakradharpur,1583882918,1,IN,47,22.7,85.63,20.34,0.27
Quryq,1583882853,0,KZ,59,43.2,51.65,9.8,11.91
San Policarpo,1583882920,0,PH,66,12.18,125.51,26.93,3.51
Diapaga,1583882921,60,BF,7,12.07,1.79,28.8,2.55
Pangnirtung,1583882923,75,CA,75,66.15,-65.71,-28.0,1.0
Pimentel,1583882924,90,PE,29,-6.84,-79.93,19.0,7.2
Bursa,1583882925,75,TR,93,40.17,29.08,9.0,3.1
Mount Isa,1583882926,0,AU,48,-20.73,139.5,30.0,3.6
Karonga,1583882700,87,MW,87,-9.93,33.93,22.94,1.83
High Level,1583882640,75,CA,48,58.52,-117.14,4.0,1.0
Kumluca,1583882930,71,TR,84,36.37,30.29,9.08,2.02
Kieta,1583882931,96,PG,69,-6.22,155.63,28.6,0.43
Bud,1583882932,90,US,93,39.45,-86.18,8.0,3.6
Maniitsoq,1583882933,29,GL,56,65.42,-52.9,-5.7,2.12
Chara,1583882934,100,RU,92,56.91,118.26,-16.29,4.96
Salalah,1583882935,0,OM,53,17.02,54.09,22.0,1.5
Saint-Augustin,1583882936,100,CA,79,51.23,-58.65,-14.08,2.5
Chernyshevskiy,1583882937,0,RU,93,63.01,112.47,-36.33,1.03
Tonantins,1583882938,100,BR,95,-2.87,-67.8,24.44,0.52
Balikpapan,1583882939,20,ID,100,-1.27,116.83,26.0,1.5
Kushima,1583882940,20,JP,50,31.46,131.23,11.0,7.2
Kashgar,1583882941,96,CN,47,39.45,75.98,1.0,3.0
Sinegor'ye,1583882942,19,RU,87,62.08,150.48,-20.33,1.12
Kropotkin,1583882944,40,RU,63,45.44,40.58,12.44,2.35
Mandan,1583882774,75,US,100,46.83,-100.89,6.11,3.6
Susanville,1583882867,1,US,25,40.42,-120.65,16.0,4.1
Xingyi,1583882948,77,CN,83,24.19,102.82,11.26,0.91
Yeppoon,1583882760,75,AU,69,-23.13,150.73,25.0,5.7
Thaton,1583882950,40,MM,83,16.92,97.37,17.51,1.08
Rincon,1583882951,75,US,64,32.3,-81.24,23.0,3.1
Margate,1583882865,75,GB,93,51.38,1.39,12.22,6.7
Bulawayo,1583882954,5,ZW,87,-20.15,28.58,16.64,2.44
Boueni,1583882955,66,YT,83,-12.9,45.08,28.0,3.1
Yumen,1583882956,71,CN,31,40.28,97.2,-3.71,6.05
Vardø,1583882857,75,NO,67,70.37,31.11,-8.0,3.1
Santa Cruz de la Sierra,1583882842,37,BO,58,-17.8,-63.17,31.0,3.1
Merauke,1583882846,100,ID,84,-8.47,140.33,28.01,4.65
Aswān,1583882960,1,EG,24,24.09,32.91,22.39,3.66
Kirkwood,1583882961,90,US,75,38.58,-90.41,7.0,0.89
Wanning,1583882962,100,CN,93,18.8,110.4,22.67,2.55
Opuwo,1583882963,22,NA,46,-18.06,13.84,19.9,1.25
Manado,1583882964,40,ID,94,1.49,124.85,25.0,0.5
Peniche,1583882965,40,PT,100,39.36,-9.38,15.56,1.5
Acapulco de Juárez,1583882966,20,MX,70,16.86,-99.89,30.0,4.1
Khanbari,1583882967,63,NP,81,27.37,87.2,3.65,0.9
Taoudenni,1583882867,0,ML,10,22.68,-3.98,19.99,5.46
Terme,1583882969,32,TR,87,41.21,36.97,8.0,2.1
Todos Santos,1583882970,90,MX,34,23.45,-110.22,27.78,3.6
Manoel Urbano,1583882971,100,BR,92,-8.84,-69.26,24.51,0.69
Edremit,1583882972,75,TR,93,39.6,27.02,9.0,1.5
São Borja,1583882973,0,BR,35,-28.66,-56.0,28.26,0.97
Griffith,1583882974,1,US,80,41.53,-87.42,9.44,3.6
Shanghai,1583882977,0,CN,93,31.22,121.46,11.67,1.0
Rio Grande,1583882978,95,BR,95,-32.03,-52.1,21.11,6.28
Skjervøy,1583882979,68,NO,71,70.03,20.97,-5.47,10.64
Sangar,1583882980,100,RU,96,63.92,127.47,-18.05,0.75
Kavaratti,1583882981,11,IN,67,10.57,72.64,27.54,2.97
Jalu,1583882982,52,LY,36,29.03,21.55,15.57,3.86
Sydney,1583882868,20,AU,77,-33.87,151.21,24.44,4.1
Labuhan,1583882984,92,ID,89,-6.88,112.21,25.7,0.49
Kuvandyk,1583882985,92,RU,87,51.48,57.36,-0.83,1.04
Uddevalla,1583882986,100,SE,100,58.35,11.94,6.11,2.6
Sambava,1583882987,100,MG,96,-14.27,50.17,22.55,1.01
Copiapó,1583882988,40,CL,72,-27.37,-70.33,19.0,4.6
Harbour Breton,1583882990,100,CA,90,47.48,-55.8,-5.56,5.65
Burnie,1583882991,12,AU,56,-41.07,145.92,14.44,1.79
Neyshabur,1583882992,0,IR,41,36.21,58.8,3.0,1.93
Mananjary,1583882993,23,MG,87,-21.22,48.33,24.76,4.18
Ziro,1583882995,21,IN,93,27.63,93.83,9.67,0.66
Vetiş,1583882996,59,RO,78,47.8,22.77,7.22,3.1
Aljezur,1583882997,0,PT,54,37.32,-8.8,18.89,2.24
Praia da Vitória,1583882999,40,PT,93,38.73,-27.07,16.0,3.94
Muros,1583883000,90,ES,93,42.78,-9.06,13.89,1.5
Duiwelskloof,1583883001,0,ZA,73,-23.69,30.14,17.33,0.8
Alta Floresta,1583883002,68,BR,96,-9.88,-56.09,23.51,1.79
Baruun-Urt,1583883003,50,MN,81,46.68,113.28,-11.03,3.41
Kiryat Gat,1583883004,83,IL,82,31.61,34.76,15.0,1.5
Pokhara,1583883005,66,NP,75,28.23,83.98,14.12,1.26
Itamaracá,1583883006,40,BR,74,-7.75,-34.83,29.0,3.6
Buchanan,1583883007,75,LR,94,5.88,-10.05,26.0,2.1
Bengbu,1583883005,33,CN,68,32.94,117.36,8.86,2.71
Baykit,1583883009,44,RU,98,61.67,96.37,-23.59,1.19
Huarmey,1583883010,52,PE,69,-10.07,-78.15,22.75,2.4
Port Hardy,1583883011,90,CA,93,50.7,-127.42,5.0,4.1
Sandviken,1583883012,98,SE,90,60.62,16.77,3.33,1.79
Tsimmerbude,1583883013,90,RU,81,54.67,20.13,7.0,7.0
Maroantsetra,1583883015,99,MG,97,-15.43,49.73,21.51,1.17
Sūsangerd,1583883016,0,IR,58,31.56,48.18,14.0,1.0
Tucupita,1583883019,83,VE,73,9.06,-62.05,24.38,3.24
Aban,1583883020,13,RU,96,56.67,96.06,-15.49,2.64
Muroto-misakicho,1583883021,75,JP,76,33.28,134.15,12.0,1.5
Namatanai,1583883022,100,PG,72,-3.67,152.43,28.83,4.73
Santa Cruz,1583883023,0,MA,87,30.42,-9.6,15.0,3.1
Balezino,1583883024,100,RU,99,57.98,53.01,2.91,5.28
Thinadhoo,1583883025,97,MV,72,0.53,72.93,28.32,4.75
Abu Samrah,1583883026,98,SY,65,35.3,37.18,11.63,2.16
Zonguldak,1583883027,99,TR,91,41.25,31.83,7.57,0.91
Ocampo,1583883028,87,MX,23,21.65,-101.5,23.5,1.6
Alindao,1583883029,75,CF,46,5.03,21.21,26.96,1.87
Stornoway,1583883030,7,GB,80,58.21,-6.39,4.44,5.1
Lerwick,1583882834,74,GB,75,60.15,-1.15,7.0,15.9
Hualmay,1583882774,31,PE,73,-11.1,-77.61,22.34,2.55
Mogadishu,1583883033,50,SO,78,2.04,45.34,26.55,8.5
Dongsheng,1583883034,0,CN,34,39.82,109.98,-0.63,6.82
Maridi,1583883035,100,SS,49,4.92,29.47,25.98,2.56
Nueve de Julio,1583882867,0,AR,69,-35.44,-60.88,22.78,7.37
Dayong,1583883037,40,CN,67,25.02,118.29,16.0,7.0
Hasaki,1583883040,40,JP,59,35.73,140.83,17.22,4.1
Cocobeach,1583883042,40,GA,79,1.0,9.58,30.0,3.1
Falam,1583883043,0,MM,45,22.92,93.68,9.74,0.62
Pinega,1583883044,100,RU,98,64.7,43.39,0.83,3.41
Manokwari,1583883045,100,ID,90,-0.87,134.08,24.34,1.34
Kyra,1583883046,83,RU,84,49.58,111.98,-12.2,2.14
Ngama,1583883047,22,TD,14,11.78,17.17,26.33,4.68
Spas-Klepiki,1583883048,100,RU,92,55.13,40.18,3.89,0.89
Isangel,1583883049,20,VU,70,-19.55,169.27,30.0,3.1
Hearst,1583883050,100,CA,95,49.68,-83.67,-12.66,1.41
Maltahöhe,1583883051,0,NA,35,-24.83,16.98,19.84,5.95
Egvekinot,1583883052,90,RU,88,66.32,-179.17,-23.37,0.51
Guánica,1583883053,75,PR,77,17.97,-66.91,26.11,8.7
Dunedin,1583883013,100,NZ,59,-45.87,170.5,13.33,0.89
Quelimane,1583883055,12,MZ,91,-17.88,36.89,24.73,0.97
Erdenet,1583883056,94,MN,75,49.03,104.08,-13.41,3.86
Newport,1583883057,90,GB,100,51.59,-3.0,10.0,8.2
Carutapera,1583883058,100,BR,81,-1.2,-46.02,26.67,5.1
